title,url,contributors,date,format,fulltext_url,trove_id,language,rights,pages,form,volume,parent,children
"Goliath Joe, fisherman / by Charles Thackeray (Wobbegong)",https://trove.nla.gov.au/work/10013347,"Thackeray, Charles",1900-1919,Book|Book/Illustrated,https://nla.gov.au/nla.obj-2831231419,nla.obj-2831231419,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,130,Book,,,
Grammar of the Narrinyeri tribe of Australian Aborigines / by the late Rev. G. Taplin,https://trove.nla.gov.au/work/10029401,"Taplin, George",1878-1880,Book|Government publication,http://nla.gov.au/nla.obj-688657424,nla.obj-688657424,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,24,Book,,,
The works of the Rev. Sydney Smith,https://trove.nla.gov.au/work/1004403,"Smith, Sydney, 1771-1845",1839-1900,Book|Book/Illustrated|Microform,https://nla.gov.au/nla.obj-630176596,nla.obj-630176596,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,65,Book,,,
"Nellie Doran : a story of Australian home and school life / by Miriam Agatha ; with a preface by His Grace the Coadjutor Archbishop of Brisbane, Queensland",https://trove.nla.gov.au/work/10049667,Miriam Agatha,1914-1923,Book,http://nla.gov.au/nla.obj-24357566,nla.obj-24357566,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,246,Book,,,
Lastkraftwagen 3 t Ford : Baumuster V 3000 S : Geratbeschreibung und Bedienungsanweisung,https://trove.nla.gov.au/work/10053234,Germany. Heer. Heereswaffenamt,1942,Book|Book/Illustrated|Government publication,https://nla.gov.au/nla.obj-51530748,nla.obj-51530748,German,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,80,Book,,,
Trefoil : the story of a girls' society / by M.P. Macdonald,https://trove.nla.gov.au/work/10057400,"Macdonald, M. P. (Margaret P.)",1900-1920,Book|Book/Illustrated,http://nla.gov.au/nla.obj-19907304,nla.obj-19907304,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,388,Book,,,
"Military report on the province of Chiang-su (south of the Yang-tzŭ) / prepared by the General Staff, War Office",https://trove.nla.gov.au/work/10068876,,1909,Book/Illustrated|Book,http://nla.gov.au/nla.obj-233089297,nla.obj-233089297,,,0,Picture,,,
Le Siege de Berlin : Drame en un Acte / Charles Hellem & Pol Destoc,https://trove.nla.gov.au/work/10069391,,1915,Book,http://nla.gov.au/nla.obj-509324870,nla.obj-509324870,,,33,Book,,,
The Aborigines of Central Australia : with a vocabulary of the dialect of the Alice Springs natives / by W. H. Willshire,https://trove.nla.gov.au/work/10076872,"Willshire, W. H. (William Henry), 1852-1925",1888,Book,http://nla.gov.au/nla.obj-188910904,nla.obj-188910904,,,33,Book,,,
Astronomia : Teutsch astronomei,https://trove.nla.gov.au/work/10084851,"Jacob, Cyriacus, -1551",1545,Map|Map/Atlas|Book,http://nla.gov.au/nla.obj-230899009,nla.obj-230899009,,,0,Picture,,,
Glenorchy social plan : 2003 social report and recommendations for future planning,https://trove.nla.gov.au/work/10090496,Glenorchy (Tas.). Council,2003,Government publication|Book/Illustrated|Book,https://nla.gov.au/nla.obj-1382470285,nla.obj-1382470285,,,0,Digital Publication,,,
"Heaven and earth : 120 album leaves from a Ming encyclopedia, 'San-ts 'ai t'u-hui', 1610 / selected and annotated by John A. Goodall",https://trove.nla.gov.au/work/10095312,"Goodall, John A",1979,Book|Book/Illustrated,http://nla.gov.au/nla.obj-134928341,nla.obj-134928341,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,200,Book,,,
The people's treasures : collections in the National Library of Australia / edited by John Thompson,https://trove.nla.gov.au/work/10096786,"Thompson, John (John Robert), 1947-",1993,Book|Book/Illustrated|Government publication,http://nla.gov.au/nla.obj-4952636,nla.obj-4952636,English,In Copyright,92,Book,,,
"Catalogue of horses, cattle, sheep, pigs, canaries, dogs, fat stock, poultry, farm produce, manufactures & materials ; and, Extra miscellaneous ; also, Fine arts and needlework exhibited at the 36th exhibition on Wednesday, Thursday and Friday, April 22nd, 23rd & 24th 1896 / Hunter River Agricultural and Horticultural Association, West Maitland",https://trove.nla.gov.au/work/10098848,Hunter River Agricultural and Horticultural Association,1896,Book|Book/Illustrated,http://nla.gov.au/nla.obj-470088899,nla.obj-470088899,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,128,Book,,,
General power of attorney,https://trove.nla.gov.au/work/10100860,"Bent, Andrew, 1791-1851",1827,Book,http://nla.gov.au/nla.obj-76416324,nla.obj-76416324,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,2,Book,,,
"Pictures of Australian life, 1843-1844 / by Mrs Thomas Henry Huxley",https://trove.nla.gov.au/work/10100978,"Huxley, Henrietta Anne",1911,Book,http://nla.gov.au/nla.obj-52822048,nla.obj-52822048,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,17,Book,,,
Notes on the aborigines of New South Wales / R.H. Mathews,https://trove.nla.gov.au/work/1011399,"Mathews, R. H. (Robert Hamilton), 1841-1918",1907,Book|Book/Illustrated|Government publication,http://nla.gov.au/nla.obj-756755978,nla.obj-756755978,,,44,Book,,,
"Report of the Royal Commission on the method for determining the unimproved value of land held under crown leases, together with appendices",https://trove.nla.gov.au/work/10116119,Australia. Royal Commission on the method for determining the unimproved value of land held under crown leases,1925,Government publication|Article|Book,http://nla.gov.au/nla.obj-713670609,nla.obj-713670609,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,61,Book,,,
"Academic Salaries Tribunal, 1974 review",https://trove.nla.gov.au/work/10116167,"Academic Salaries Tribunal (Australia)| THE PARLIAMENT OF THE COMMONWEALTH OF AUSTRALIA, W.B. CAMPBELL
Academic Salaries Tribunal
11th December 1974| Academic Salaries Tribunal (Australia)",1974-1975,Book|Article/Journal or magazine article|Article,https://nla.gov.au/nla.obj-1520761853,nla.obj-1520761853,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,54,Journal,,,
